customer_id,age,tenure_months,region,gender,plan_tier,num_products,primary_product,days_since_last_login,login_frequency_30d,feature_adoption_rate,product_changes_6m,mobile_app_user,monthly_spend_avg,monthly_spend_current,spend_trend,spend_volatility,num_txns_6m,sentiment_score,sentiment_trend,nps_score,complaint_count_6m,support_interactions_6m,escalated_support,contract_type,discount_applied,auto_renewal_enabled,referral_source,payment_failures_6m,churn
19,22,50,APAC,Female,Basic,3,Illustrator,8,10,0.1325,2,1,193.91,172.53,-1,0.4691,26,42.5,0,-35,1,3,0,annual,0,1,Organic,1,0
20,62,30,LATAM,Male,Basic,2,Photoshop,12,14,0.0562,2,0,24.33,21.37,-1,0.3992,32,48.0,0,70,1,0,0,annual,0,1,Paid,0,0
21,38,1,US,Male,Standard,2,Illustrator,17,6,0.4272,0,0,45.33,37.31,-1,0.1342,42,75.4,-1,55,0,1,0,annual,1,1,Paid,1,0
22,42,8,LATAM,Female,Basic,2,InDesign,8,7,0.3053,1,1,99.14,85.76,-1,0.3181,35,52.4,1,-23,0,3,0,annual,0,1,Social,0,0
23,22,118,US,Female,Standard,3,Illustrator,12,9,0.0432,1,1,27.6,24.76,0,0.29,46,52.5,1,-15,0,0,0,annual,0,1,Referral,0,0
24,34,43,APAC,Female,Standard,1,Illustrator,6,12,0.4493,2,1,41.8,47.56,0,0.3741,31,60.3,0,-16,1,2,1,annual,0,0,Paid,0,1
25,43,41,US,Female,Standard,3,Illustrator,1,16,0.6759,2,0,687.1,750.08,1,0.4328,26,45.8,1,-40,1,4,0,annual,0,1,Organic,0,0
26,25,38,LATAM,Female,Basic,2,Illustrator,2,13,0.1637,0,1,47.6,54.31,1,0.0938,27,61.3,0,19,0,1,0,annual,0,1,Paid,0,0
27,47,4,US,Female,Standard,2,Photoshop,7,12,0.1178,0,1,115.6,100.37,-1,0.0847,41,56.7,1,0,1,1,0,annual,0,1,Organic,1,0
28,33,1,EU,Male,Basic,2,Illustrator,1,13,0.0597,0,1,79.95,90.32,1,0.1076,37,55.4,1,-29,1,1,1,annual,0,1,Organic,1,1
29,37,20,LATAM,Female,Standard,1,Premiere,0,11,0.0595,1,0,131.02,153.61,1,0.347,29,41.5,1,30,0,0,0,annual,0,1,Paid,0,0
30,33,21,EU,Male,Standard,3,Photoshop,6,16,0.3117,0,1,21.03,24.03,1,0.1747,30,70.2,1,-36,1,3,0,annual,1,1,Referral,2,0
31,67,60,APAC,Male,Standard,1,Premiere,12,6,0.2512,1,0,50.75,44.05,-1,0.2069,19,79.1,-1,3,0,1,0,annual,0,1,Organic,0,0
32,41,7,EU,Male,Standard,1,After Effects,3,12,0.4998,1,1,94.11,93.62,0,0.4245,30,46.9,0,62,1,0,0,annual,1,1,Paid,1,0
33,27,11,LATAM,Male,Basic,1,Illustrator,4,12,0.2187,0,1,92.03,101.44,1,0.3646,35,23.4,1,-23,1,2,1,annual,0,1,Social,0,1
34,53,2,APAC,Female,Premium,2,Photoshop,6,12,0.5575,0,1,208.25,246.86,1,0.3362,35,90.2,1,36,0,0,0,monthly,0,0,Organic,0,0
35,24,18,EU,Male,Basic,4,Photoshop,19,11,0.5467,0,0,240.09,287.76,1,0.1467,27,80.9,0,59,0,1,0,annual,1,0,Paid,1,0
36,44,10,US,Non-binary,Basic,1,InDesign,16,13,0.1626,0,0,94.61,71.53,-1,0.3584,34,52.0,-1,-14,0,1,0,annual,0,0,Paid,1,0
37,18,10,APAC,Female,Premium,2,Premiere,3,7,0.4097,1,1,133.58,165.72,1,0.2375,26,50.6,0,-29,2,3,0,annual,0,1,Paid,1,0
38,23,10,US,Male,Premium,2,Premiere,6,13,0.1779,0,1,161.23,164.71,0,0.1804,38,48.8,0,0,1,1,0,monthly,0,0,Organic,1,0
39,44,9,US,Female,Basic,2,InDesign,11,11,0.2169,2,0,60.83,51.42,-1,0.0597,33,36.5,0,3,1,2,0,monthly,0,1,Organic,0,0
40,52,13,APAC,Male,Standard,5,Audition,2,13,0.2088,0,1,340.16,296.73,-1,0.0696,28,45.8,-1,-10,0,3,0,annual,0,1,Social,0,1
41,44,27,US,Female,Basic,1,Illustrator,1,9,0.4707,2,1,26.91,21.25,-1,0.3037,28,75.1,-1,49,1,4,0,annual,0,0,Paid,2,0
42,40,20,US,Male,Premium,1,After Effects,10,3,0.125,3,0,145.75,140.98,0,0.1002,29,70.4,0,26,0,3,0,annual,0,1,Organic,0,0
43,37,2,APAC,Female,Standard,2,Audition,1,19,0.3144,0,1,26.57,25.28,0,0.346,29,50.4,1,53,0,6,0,monthly,0,1,Organic,0,0
44,21,19,APAC,Female,Premium,3,Premiere,10,11,0.146,1,1,21.76,22.69,0,0.4944,27,44.7,1,69,0,3,0,annual,0,1,Organic,0,0
45,31,67,US,Female,Standard,3,Premiere,4,10,0.429,0,0,288.82,269.42,0,0.1877,33,36.5,-1,25,0,1,0,annual,1,1,Referral,0,0
46,35,3,EU,Female,Standard,1,Illustrator,1,15,0.0704,2,0,118.44,119.76,0,0.3588,25,61.4,-1,52,1,3,0,annual,1,1,Social,0,0
47,56,103,US,Male,Standard,4,InDesign,11,12,0.1825,2,1,25.19,21.4,-1,0.319,34,56.0,-1,52,1,1,0,monthly,1,1,Referral,0,0
48,46,13,APAC,Female,Standard,1,Premiere,18,11,0.1956,3,1,69.4,67.8,0,0.1804,34,44.0,1,84,0,0,0,annual,0,0,Referral,0,0
49,18,1,US,Male,Standard,1,Premiere,3,18,0.2774,1,0,71.45,58.71,-1,0.1258,25,50.4,0,57,0,1,0,annual,0,1,Paid,0,0
50,46,10,US,Female,Standard,2,Premiere,1,13,0.1681,0,0,165.12,140.23,-1,0.6366,24,51.3,0,37,1,3,0,monthly,0,1,Paid,0,0
51,36,2,LATAM,Male,Premium,4,Premiere,5,5,0.2963,0,1,37.15,34.32,0,0.2312,30,74.0,-1,6,0,2,0,annual,0,1,Paid,1,0
52,32,30,EU,Male,Standard,3,Illustrator,3,10,0.0449,1,1,92.7,96.97,0,0.1474,26,69.0,-1,54,0,4,0,annual,0,1,Paid,0,0
53,50,13,APAC,Male,Premium,3,Premiere,5,12,0.2587,0,1,84.68,83.88,0,0.1909,24,48.7,1,7,1,2,0,annual,1,0,Referral,0,0
54,56,59,US,Male,Basic,2,Photoshop,1,22,0.1094,0,0,397.95,387.19,0,0.3257,27,82.1,0,29,0,3,0,monthly,1,0,Referral,0,0
55,55,47,US,Male,Basic,1,Illustrator,8,13,0.1121,0,1,26.44,30.3,1,0.1886,36,53.2,0,-44,0,2,0,annual,0,1,Organic,0,0
56,30,22,US,Female,Basic,4,Illustrator,12,4,0.2264,2,1,142.93,131.9,0,0.4016,44,35.4,-1,39,1,1,0,annual,0,1,Referral,0,1
57,37,29,EU,Male,Basic,1,Premiere,1,14,0.4315,0,1,80.59,81.38,0,0.1649,22,51.8,-1,41,1,1,0,annual,1,1,Social,0,0
58,46,33,US,Female,Standard,3,Premiere,6,6,0.0284,2,1,36.89,38.55,0,0.1315,32,19.0,1,29,2,3,1,annual,0,1,Paid,0,0
59,55,11,US,Female,Standard,2,Audition,1,14,0.259,1,1,161.23,126.55,-1,0.3246,33,61.2,-1,35,0,0,0,annual,1,1,Organic,0,0
60,35,5,LATAM,Female,Standard,2,After Effects,3,18,0.5295,1,1,58.47,48.27,-1,0.2432,33,36.0,-1,-32,0,0,1,annual,0,1,Social,0,1
61,39,17,US,Female,Standard,2,InDesign,3,7,0.2751,1,1,131.36,117.47,-1,0.1507,32,58.9,-1,67,0,1,0,annual,0,1,Paid,0,0
62,26,3,EU,Female,Standard,1,Photoshop,5,11,0.1549,1,1,244.39,251.61,0,0.5976,22,95.6,1,37,0,1,0,annual,1,1,Organic,0,0
63,25,13,EU,Male,Standard,2,Illustrator,3,8,0.2651,0,1,337.02,410.37,1,0.187,26,79.8,0,55,0,2,0,annual,0,1,Referral,0,1
64,53,28,US,Female,Basic,2,Illustrator,3,14,0.0708,1,1,18.67,19.03,0,0.2715,31,61.8,0,-56,1,0,0,monthly,0,1,Paid,0,0
65,60,27,EU,Female,Standard,3,Illustrator,11,12,0.588,0,0,25.02,26.75,0,0.4354,25,67.0,0,71,1,1,0,annual,0,1,Social,2,0
66,40,4,US,Female,Standard,3,InDesign,5,7,0.5083,1,0,143.51,134.2,0,0.2885,25,86.3,1,-7,1,0,0,annual,0,1,Organic,1,0
67,56,1,US,Female,Premium,2,Photoshop,1,21,0.6643,0,0,145.49,124.05,-1,0.1021,28,58.0,1,-11,1,1,0,annual,0,1,Social,0,0
68,47,3,US,Male,Basic,3,Photoshop,0,8,0.1007,1,1,51.47,48.54,-1,0.3303,36,78.3,1,37,0,2,0,annual,0,1,Referral,1,0
69,32,1,APAC,Male,Premium,1,Illustrator,23,9,0.2912,0,0,82.68,84.0,0,0.1214,35,53.3,1,6,0,1,0,annual,1,1,Paid,1,0
70,47,18,LATAM,Male,Basic,4,Illustrator,37,6,0.2863,1,0,41.45,39.71,0,0.2065,25,53.4,-1,-1,1,2,0,annual,0,0,Paid,0,0
71,63,17,EU,Male,Basic,4,Photoshop,1,15,0.3181,1,0,225.66,257.46,0,0.5201,28,76.4,1,-42,0,2,0,monthly,0,1,Referral,1,0
72,41,9,APAC,Non-binary,Standard,4,Premiere,9,12,0.1758,1,0,459.02,524.09,1,0.2959,27,67.5,1,-19,0,2,0,annual,0,1,Referral,0,0
73,63,8,LATAM,Non-binary,Basic,2,Illustrator,18,11,0.6494,1,1,223.98,190.65,-1,0.3466,29,89.3,-1,-85,0,2,0,monthly,0,1,Paid,0,0
74,18,18,EU,Male,Basic,4,InDesign,15,16,0.3875,1,1,39.04,35.07,0,0.493,25,37.4,1,-14,0,1,1,annual,1,1,Paid,0,0
75,53,3,US,Female,Premium,2,Photoshop,1,13,0.294,1,1,136.42,138.54,0,0.1046,32,74.7,-1,29,0,1,0,annual,0,1,Social,0,0
76,43,8,US,Male,Standard,4,InDesign,7,11,0.5629,1,1,92.64,99.07,0,0.4317,28,65.8,-1,-38,1,1,0,annual,0,1,Paid,0,1
77,37,18,US,Male,Premium,2,Photoshop,20,6,0.2618,1,0,17.34,16.92,0,0.2953,31,42.1,1,53,1,0,0,annual,0,1,Paid,3,0
78,43,3,EU,Male,Standard,7,Illustrator,0,11,0.4092,1,0,448.34,382.49,-1,0.1541,29,56.4,-1,-2,1,2,0,annual,0,0,Paid,0,1
79,18,66,EU,Female,Standard,1,Photoshop,5,14,0.433,2,0,207.54,204.44,0,0.2967,31,66.9,-1,-52,3,1,0,annual,1,0,Paid,0,1
80,38,40,EU,Female,Standard,2,Premiere,8,9,0.6672,1,1,24.72,23.0,0,0.3684,34,87.5,1,26,1,1,0,annual,1,1,Paid,0,0
81,46,17,EU,Male,Basic,3,After Effects,1,10,0.3727,2,0,422.18,424.08,0,0.1545,33,76.2,1,33,0,1,0,monthly,1,0,Paid,0,0
82,62,5,US,Male,Basic,2,Photoshop,2,13,0.4189,2,1,173.28,175.36,0,0.0631,29,70.0,-1,53,0,0,0,annual,0,1,Organic,0,0
83,34,7,US,Male,Premium,1,InDesign,12,13,0.0772,0,1,45.6,46.58,0,0.1777,29,70.5,1,47,0,2,0,monthly,0,1,Paid,0,0
84,30,4,EU,Male,Standard,2,Photoshop,2,9,0.4362,1,1,95.03,94.43,0,0.1983,29,76.6,-1,-8,0,3,1,annual,0,1,Paid,0,0
85,34,6,EU,Female,Basic,1,Photoshop,0,12,0.451,1,0,104.14,124.6,0,0.4398,26,66.8,-1,94,0,1,0,annual,0,1,Paid,0,0
86,54,19,US,Male,Basic,3,Illustrator,9,9,0.5029,2,0,31.48,30.14,0,0.1771,35,56.2,1,-55,0,2,1,annual,0,1,Paid,0,0
87,46,10,US,Female,Standard,2,Photoshop,4,18,0.5078,0,1,110.46,109.69,0,0.21,41,100.0,0,66,0,5,0,annual,0,1,Organic,0,0
88,34,77,US,Female,Standard,5,Premiere,7,10,0.36,0,0,20.78,16.53,-1,0.0938,31,97.5,0,-5,0,1,0,annual,0,1,Organic,0,0
89,49,116,EU,Male,Premium,1,Photoshop,5,19,0.4006,1,0,221.02,251.03,1,0.1892,30,71.9,1,6,0,1,0,annual,0,1,Social,2,0
90,43,42,APAC,Male,Premium,1,Photoshop,25,13,0.1439,1,0,129.89,133.64,0,0.0864,24,61.9,0,39,0,1,0,annual,0,1,Social,1,0
91,55,59,APAC,Male,Basic,1,Premiere,4,13,0.6469,0,1,42.32,42.0,0,0.0713,35,93.4,0,-30,0,0,0,monthly,1,1,Organic,1,0
92,32,10,APAC,Non-binary,Basic,3,After Effects,8,10,0.3119,1,1,443.79,473.17,0,0.3882,27,67.9,-1,-33,0,2,0,annual,1,1,Social,0,1
93,37,39,APAC,Female,Standard,2,Premiere,6,4,0.6311,0,1,233.45,249.8,0,0.6646,31,73.1,1,23,0,2,0,annual,0,1,Paid,1,0
94,36,2,US,Male,Premium,3,Premiere,0,11,0.6848,1,0,112.41,97.12,-1,0.2735,36,54.1,-1,68,2,4,0,annual,1,1,Organic,0,0
95,21,116,APAC,Female,Basic,6,Photoshop,1,12,0.13,3,0,649.85,635.93,0,0.1928,25,37.1,-1,32,2,3,0,annual,0,1,Organic,2,0
96,46,39,US,Female,Premium,3,After Effects,8,16,0.5327,0,0,11.41,11.42,0,0.0803,35,38.8,0,-17,0,2,0,annual,0,1,Social,0,0
97,45,13,EU,Female,Basic,3,InDesign,13,12,0.43,2,1,97.61,73.27,0,0.6763,33,65.2,0,29,0,3,0,annual,0,1,Referral,0,0
98,42,53,US,Female,Premium,3,InDesign,6,18,0.4452,2,1,61.77,72.01,1,0.1534,34,47.2,1,57,1,1,0,annual,0,1,Organic,0,0
99,38,1,EU,Female,Basic,1,Premiere,1,10,0.2244,1,0,161.4,164.16,0,0.1411,33,42.4,0,29,1,1,0,annual,0,1,Organic,0,0
100,22,16,US,Female,Premium,5,Illustrator,19,5,0.2456,2,0,47.71,49.38,0,0.1162,31,41.3,-1,-57,3,2,0,monthly,0,1,Paid,1,1
101,36,81,EU,Male,Standard,1,Photoshop,0,12,0.0779,1,0,158.7,157.86,0,0.2403,30,76.1,-1,25,0,0,0,annual,0,1,Paid,0,0
102,37,10,US,Female,Standard,7,After Effects,11,7,0.2373,0,0,52.22,52.29,1,0.2702,30,84.6,0,-10,0,1,0,monthly,1,1,Paid,0,0
103,30,39,US,Male,Premium,1,Premiere,8,10,0.2064,0,1,363.28,383.82,0,0.7365,33,74.4,1,35,0,1,0,annual,0,1,Paid,1,0
104,39,16,APAC,Male,Standard,5,Photoshop,0,15,0.19,0,1,272.31,290.17,0,0.2533,15,55.8,-1,46,0,1,0,annual,0,1,Paid,0,0
105,47,17,US,Male,Standard,5,Photoshop,7,7,0.2542,2,1,51.93,57.26,1,0.5017,40,31.9,1,-37,1,1,0,monthly,0,1,Referral,1,0
106,68,49,APAC,Male,Premium,4,InDesign,4,16,0.0892,0,0,48.59,50.65,0,0.3677,29,40.9,1,-17,1,1,1,monthly,1,1,Organic,0,1
107,44,86,US,Female,Premium,7,Illustrator,7,9,0.3675,1,1,16.99,17.15,0,0.1278,27,89.9,-1,34,1,1,0,monthly,0,1,Organic,0,0
108,45,6,EU,Male,Premium,2,Photoshop,1,9,0.2914,2,0,16.19,18.58,1,0.2023,39,62.8,1,18,0,1,0,annual,0,1,Organic,0,0
109,40,11,LATAM,Male,Standard,2,Illustrator,2,13,0.2922,1,1,291.71,292.54,0,0.3625,33,49.2,-1,28,0,1,0,annual,0,1,Organic,1,0
110,18,24,EU,Female,Basic,2,Photoshop,3,16,0.063,1,1,41.12,42.23,0,0.1323,29,34.3,-1,-14,0,2,0,annual,0,0,Organic,0,0
111,41,34,US,Female,Standard,3,Illustrator,0,7,0.0613,2,1,46.08,52.89,1,0.1574,21,32.5,0,20,1,1,0,monthly,0,0,Organic,0,0
112,42,22,LATAM,Male,Standard,1,Photoshop,1,12,0.3543,0,1,294.24,271.53,0,0.5176,23,50.5,1,25,1,1,0,monthly,1,1,Paid,0,1
113,76,58,EU,Male,Basic,5,Premiere,2,8,0.3481,2,1,81.73,80.28,0,0.3234,33,65.5,1,-55,2,2,0,monthly,0,1,Social,0,0
114,39,52,EU,Female,Standard,6,Premiere,0,10,0.5544,0,1,124.72,112.26,-1,0.56,23,48.1,-1,-16,2,1,0,monthly,0,1,Referral,1,0
115,46,18,LATAM,Female,Standard,4,Audition,1,15,0.28,0,1,50.13,60.71,1,0.3627,29,46.4,1,54,0,4,0,annual,0,1,Organic,0,0
116,41,1,US,Male,Standard,1,Premiere,11,14,0.5471,1,0,291.53,206.64,-1,0.4244,39,85.4,0,60,0,0,0,annual,0,1,Referral,0,0
117,25,7,EU,Female,Standard,2,Photoshop,2,16,0.3765,2,1,267.82,250.45,0,0.4672,34,59.5,1,-70,1,2,0,annual,1,1,Organic,1,0
118,57,24,APAC,Female,Premium,4,Photoshop,5,11,0.028,0,1,191.9,189.63,0,0.1469,27,61.1,-1,-54,0,3,0,monthly,0,1,Referral,0,0
119,52,94,EU,Female,Premium,1,InDesign,8,12,0.6103,1,0,61.58,68.44,1,0.1167,15,95.4,0,-19,0,0,0,monthly,0,0,Organic,0,0
120,53,30,EU,Male,Standard,1,InDesign,17,8,0.6351,1,1,26.12,25.47,0,0.1444,33,48.2,0,41,0,2,0,annual,1,1,Referral,3,0
121,29,27,APAC,Male,Premium,4,InDesign,0,15,0.5306,2,0,12.24,11.77,0,0.5436,39,59.8,1,7,0,0,1,annual,1,1,Paid,0,0
122,61,46,US,Male,Basic,2,After Effects,5,11,0.4629,0,0,231.06,209.78,0,0.5652,31,71.9,-1,28,0,3,0,annual,1,1,Organic,0,0
123,22,5,US,Male,Basic,1,Illustrator,3,10,0.0665,0,1,15.88,18.72,1,0.1121,34,22.7,0,-5,1,4,0,annual,0,0,Social,0,1
124,50,5,US,Male,Standard,1,Premiere,31,6,0.4383,1,1,39.3,48.19,1,0.27,30,26.5,1,-28,2,3,0,annual,0,1,Referral,0,1
125,72,15,LATAM,Female,Standard,5,After Effects,8,15,0.7286,2,1,72.72,78.91,1,0.2779,29,55.1,1,-45,2,1,0,monthly,1,1,Paid,1,1
126,28,120,US,Male,Standard,2,Photoshop,5,14,0.4796,0,1,51.56,54.01,0,0.2379,38,62.8,-1,19,1,2,0,annual,0,1,Referral,0,0
127,34,75,EU,Female,Standard,3,Illustrator,23,6,0.1467,0,0,455.99,554.3,1,0.1779,20,57.1,0,33,0,6,0,annual,0,1,Paid,1,0
128,43,41,EU,Female,Basic,3,Audition,19,8,0.5738,0,0,80.92,81.32,0,0.063,30,77.2,0,88,0,1,0,annual,0,1,Organic,0,0
129,34,17,US,Male,Standard,4,InDesign,21,5,0.1069,0,0,268.45,291.63,1,0.2026,32,59.2,1,28,1,0,0,annual,0,1,Paid,0,0
130,20,29,EU,Non-binary,Standard,3,Photoshop,1,8,0.2351,0,0,26.89,28.72,0,0.4265,25,87.9,1,100,1,2,0,annual,0,1,Paid,1,0
131,42,13,US,Male,Standard,1,Photoshop,4,16,0.6761,1,0,14.91,15.21,0,0.1284,32,74.8,0,-51,0,0,0,annual,0,1,Organic,0,0
132,27,40,APAC,Male,Standard,4,After Effects,5,10,0.1451,2,0,95.55,98.01,0,0.1245,30,32.1,-1,71,0,4,0,annual,0,1,Social,0,0
133,48,19,APAC,Non-binary,Standard,1,Illustrator,12,13,0.3515,0,1,49.37,48.16,0,0.2835,26,62.2,0,0,1,4,0,annual,1,1,Organic,0,0
134,29,4,EU,Male,Basic,4,Photoshop,2,14,0.3077,1,0,161.32,207.46,1,0.3301,28,69.0,1,-29,1,0,0,monthly,0,1,Organic,0,0
135,63,8,EU,Male,Standard,2,After Effects,15,4,0.4071,0,0,21.91,20.81,0,0.4529,27,80.8,1,43,1,0,0,monthly,0,1,Organic,1,0
136,31,33,US,Male,Premium,3,Photoshop,1,11,0.458,1,0,136.17,116.06,-1,0.5708,36,62.2,0,-14,1,2,0,annual,0,1,Paid,1,0
137,37,42,US,Male,Standard,4,Photoshop,2,12,0.5305,0,1,22.02,22.89,0,0.2264,35,36.1,0,37,1,3,1,monthly,0,1,Referral,0,0
138,53,3,EU,Female,Premium,3,Illustrator,1,13,0.0475,3,1,334.99,339.64,0,0.0572,32,82.4,0,22,1,4,0,monthly,0,1,Organic,0,0
139,24,59,EU,Female,Basic,1,Photoshop,3,18,0.0601,0,1,66.51,71.98,0,0.4885,28,41.6,0,45,1,2,0,annual,0,1,Referral,0,0
140,45,62,EU,Male,Standard,3,Photoshop,2,17,0.3697,0,0,74.74,68.35,0,0.3277,27,62.4,0,74,1,2,0,annual,0,1,Organic,0,0
141,60,46,US,Male,Standard,4,Illustrator,11,13,0.1443,1,0,376.17,391.47,0,0.1227,12,21.1,0,56,1,3,0,annual,0,1,Referral,0,0
142,19,41,US,Male,Premium,3,After Effects,11,13,0.3003,0,1,92.46,90.61,0,0.2034,25,72.1,1,17,0,2,0,annual,0,0,Paid,0,0
143,44,9,EU,Female,Standard,1,Premiere,0,14,0.21,1,1,254.63,243.85,0,0.276,33,61.7,1,97,0,2,0,monthly,1,1,Organic,1,0
144,45,90,US,Male,Premium,5,Photoshop,0,12,0.6405,2,1,74.25,73.05,0,0.0743,35,97.1,-1,-14,0,2,0,annual,0,1,Social,0,0
145,52,11,US,Male,Basic,5,After Effects,4,10,0.0748,0,0,15.32,17.63,1,0.6012,31,15.6,0,24,1,3,1,annual,0,1,Paid,0,1
146,24,7,EU,Male,Standard,2,Illustrator,2,7,0.5053,0,0,69.5,61.84,0,0.5147,30,73.2,1,50,1,4,0,annual,0,1,Social,0,0
147,23,36,US,Female,Basic,2,Premiere,5,12,0.5532,2,0,129.88,126.76,0,0.0674,30,78.1,-1,-94,3,4,0,annual,0,1,Referral,0,0
148,49,16,US,Male,Basic,2,Illustrator,0,15,0.6471,1,1,91.52,78.18,-1,0.1803,26,89.9,-1,12,0,4,0,annual,0,1,Paid,0,0
149,46,97,EU,Female,Basic,2,Photoshop,26,4,0.2192,1,0,48.23,49.07,0,0.1174,36,47.2,1,77,1,3,1,annual,0,1,Organic,0,0
150,45,22,US,Male,Standard,2,InDesign,1,12,0.182,0,0,107.39,109.44,0,0.3631,32,58.8,1,-16,0,0,0,annual,0,1,Organic,0,0
151,46,6,US,Male,Standard,6,Premiere,8,8,0.462,0,0,231.29,227.36,0,0.0794,36,50.6,0,18,2,2,0,monthly,0,1,Social,0,0
152,32,113,US,Female,Standard,2,Audition,37,9,0.096,1,1,79.22,73.17,0,0.2267,18,65.8,0,-19,1,2,1,annual,0,1,Referral,0,0
153,45,26,LATAM,Female,Basic,2,Premiere,2,11,0.4351,1,1,319.52,294.24,0,0.2038,27,30.9,1,-58,1,2,1,monthly,0,1,Organic,0,1
154,46,26,US,Female,Basic,7,InDesign,0,13,0.2481,1,0,10.82,11.0,0,0.0991,40,83.8,-1,58,0,2,0,annual,0,1,Organic,0,0
155,31,17,APAC,Male,Premium,4,After Effects,12,15,0.2456,0,0,52.44,58.02,1,0.2099,23,94.9,1,-11,0,2,0,annual,1,1,Social,1,0
156,68,65,APAC,Female,Basic,3,Premiere,28,3,0.022,2,1,69.11,56.23,0,0.4618,24,52.2,-1,8,0,1,0,monthly,0,1,Referral,0,1
157,48,12,APAC,Female,Basic,3,InDesign,1,14,0.1818,0,0,129.06,155.84,1,0.2831,27,37.2,0,1,1,3,0,annual,0,1,Social,0,0
158,25,1,EU,Male,Basic,3,Photoshop,3,10,0.535,2,1,65.72,64.14,0,0.3799,21,53.1,1,-7,0,1,0,annual,0,1,Organic,0,0
159,51,24,US,Male,Premium,1,Premiere,0,17,0.265,1,1,108.85,114.91,0,0.1574,42,70.1,-1,-100,1,3,0,annual,0,0,Organic,1,0
160,28,93,APAC,Female,Basic,2,Premiere,4,20,0.5734,1,1,79.98,68.65,-1,0.253,32,66.5,-1,14,1,0,1,annual,1,1,Paid,0,1
161,53,11,EU,Female,Standard,3,After Effects,0,11,0.2165,3,1,232.61,219.32,0,0.1766,25,62.4,0,20,0,5,0,annual,0,1,Referral,0,0
162,58,11,EU,Female,Standard,2,Photoshop,24,8,0.2996,1,1,22.2,19.17,-1,0.2232,35,65.5,1,8,0,1,0,annual,1,0,Paid,0,0
